arguments,description,descriptivename,hostname,name,path,pathcertificateissuer,pathcertificatesubject,pathmd5sum,pathsignaturedescription,pathsignatureverified,pid
C:\Windows\system32\svchost.exe -k LocalServiceNetworkRestricted,Makes automatic connect/disconnect decisions based on the network connectivity options currently available to the PC and enables management of network connectivity based on Group Policy settings.,Windows Connection Manager,NB0008RYA,Wcmsvc,C:\Windows\System32\svchost.exe,Microsoft Windows Production PCA 2011,Microsoft Windows,0b22420be607ddd048b11192d97a6745,The file is signed and the signature was verified.,true,1364
\SystemRoot\system32\drivers\afd.sys,Ancillary Function Driver for Winsock,Ancillary Function Driver for Winsock,NB0008RYA,AFD,C:\Windows\System32\drivers\afd.sys,Microsoft Windows Production PCA 2011,Microsoft Windows,357040adfd95b8aae134739391dfe836,The file is signed and the signature was verified.,true,0
\SystemRoot\System32\drivers\BasicDisplay.sys,,BasicDisplay,NB0008RYA,BasicDisplay,C:\Windows\System32\drivers\BasicDisplay.sys,Microsoft Windows Production PCA 2011,Microsoft Windows,4f0fae070fcf4355cb7fe3d95a53c783,The file is signed and the signature was verified.,true,0
\SystemRoot\System32\drivers\xinputhid.sys,,XINPUT HID Filter Driver,NB0008RYA,xinputhid,C:\Windows\System32\drivers\xinputhid.sys,Microsoft Windows Production PCA 2011,Microsoft Windows,b3edca803047e0b735fc972f843a0db6,The file is signed and the signature was verified.,true,0
C:\Windows\system32\svchost.exe -k KpsSvcGroup,KDC Proxy Server service runs on edge servers to proxy Kerberos protocol messages to domain controllers on the corporate network.,KDC Proxy Server service (KPS),NB0008RYA,KPSSVC,C:\Windows\System32\svchost.exe,Microsoft Windows Production PCA 2011,Microsoft Windows,0b22420be607ddd048b11192d97a6745,The file is signed and the signature was verified.,true,0
C:\Windows\system32\svchost.exe -k LocalService,Maintains date and time synchronization on all clients and servers in the network. If this service is stopped  date and time synchronization will be unavailable. If this service is disabled  any services that explicitly depend on it will fail to start.,Windows Time,NB0008RYA,w32time,C:\Windows\System32\svchost.exe,Microsoft Windows Production PCA 2011,Microsoft Windows,0b22420be607ddd048b11192d97a6745,The file is signed and the signature was verified.,true,648
C:\Windows\system32\svchost.exe -k LocalServiceAndNoImpersonation,Manages access to smart cards read by this computer. If this service is stopped  this computer will be unable to read smart cards. If this service is disabled  any services that explicitly depend on it will fail to start.,Smart Card,NB0008RYA,SCardSvr,C:\Windows\System32\svchost.exe,Microsoft Windows Production PCA 2011,Microsoft Windows,0b22420be607ddd048b11192d97a6745,The file is signed and the signature was verified.,true,0
\SystemRoot\System32\drivers\mlx4_bus.sys,,Mellanox ConnectX Bus Enumerator,NB0008RYA,mlx4_bus,C:\Windows\System32\drivers\mlx4_bus.sys,Microsoft Windows Production PCA 2011,Microsoft Windows,492db998c5a631771c029d8756c26189,The file is signed and the signature was verified.,true,0
C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted,Provides enabling services for storage settings and external storage expansion,Storage Service,NB0008RYA,StorSvc,C:\Windows\System32\svchost.exe,Microsoft Windows Production PCA 2011,Microsoft Windows,0b22420be607ddd048b11192d97a6745,The file is signed and the signature was verified.,true,0
system32\DRIVERS\ipfltdrv.sys,IP Traffic Filter Driver,IP Traffic Filter Driver,NB0008RYA,IpFilterDriver,C:\Windows\System32\drivers\ipfltdrv.sys,Microsoft Windows Production PCA 2011,Microsoft Windows,4b6bcfb53d4387b939dfb7ad65b07e27,The file is signed and the signature was verified.,true,0
\SystemRoot\System32\drivers\hidinterrupt.sys,,Common Driver for HID Buttons implemented with interrupts,NB0008RYA,hidinterrupt,C:\Windows\System32\drivers\hidinterrupt.sys,Microsoft Windows Production PCA 2011,Microsoft Windows,a450bcc8a6217176f136cd858e09fbd8,The file is signed and the signature was verified.,true,0
C:\Windows\system32\svchost.exe -k DcomLaunch,Core Windows Service that manages local user sessions. Stopping or disabling this service will result in system instability.,Local Session Manager,NB0008RYA,LSM,C:\Windows\System32\svchost.exe,Microsoft Windows Production PCA 2011,Microsoft Windows,0b22420be607ddd048b11192d97a6745,The file is signed and the signature was verified.,true,588
\SystemRoot\System32\drivers\wacompen.sys,,Wacom Serial Pen HID Driver,NB0008RYA,WacomPen,C:\Windows\System32\drivers\wacompen.sys,Microsoft Windows Production PCA 2011,Microsoft Windows,dfb2cb269a02d417b50fa453e7649d9e,The file is signed and the signature was verified.,true,0
\SystemRoot\System32\drivers\vsmraid.sys,,vsmraid,NB0008RYA,vsmraid,C:\Windows\System32\drivers\vsmraid.sys,Microsoft Windows Production PCA 2011,Microsoft Windows,f28645592e3cfd4eef29717bbd2b7bce,The file is signed and the signature was verified.,true,0
\SystemRoot\System32\drivers\fdc.sys,,Floppy Disk Controller Driver,NB0008RYA,fdc,C:\Windows\System32\drivers\fdc.sys,Microsoft Windows Production PCA 2011,Microsoft Windows,c3751a5c9bd8b8e1a12ce41c2f872a6d,The file is signed and the signature was verified.,true,0
C:\Windows\system32\svchost.exe -k LocalServiceAndNoImpersonation,Quality Windows Audio Video Experience (qWave) is a networking platform for Audio Video (AV) streaming applications on IP home networks. qWave enhances AV streaming performance and reliability by ensuring network quality-of-service (QoS) for AV applications. It provides mechanisms for admission control  run time monitoring and enforcement  application feedback  and traffic prioritization.,Quality Windows Audio Video Experience,NB0008RYA,QWAVE,C:\Windows\System32\svchost.exe,Microsoft Windows Production PCA 2011,Microsoft Windows,0b22420be607ddd048b11192d97a6745,The file is signed and the signature was verified.,true,0
\SystemRoot\System32\Drivers\ksecpkg.sys,,KSecPkg,NB0008RYA,KSecPkg,C:\Windows\System32\drivers\ksecpkg.sys,Microsoft Windows Production PCA 2011,Microsoft Windows,19600289896ea3910ba996bf1006c270,The file is signed and the signature was verified.,true,0
\SystemRoot\System32\drivers\pci.sys,,PCI Bus Driver,NB0008RYA,pci,C:\Windows\System32\drivers\pci.sys,Microsoft Windows Production PCA 2011,Microsoft Windows,c019fca217b6c1bd047f29347c257ef6,The file is signed and the signature was verified.,true,0
\SystemRoot\System32\drivers\acpitime.sys,,ACPI Wake Alarm Driver,NB0008RYA,acpitime,C:\Windows\System32\drivers\acpitime.sys,Microsoft Windows Production PCA 2011,Microsoft Windows,f9ba8afd67d33ef5e8c0d3ad8cd9a2cb,The file is signed and the signature was verified.,true,0
C:\Windows\system32\svchost.exe -k localService,Enables remote users to modify registry settings on this computer. If this service is stopped  the registry can be modified only by users on this computer. If this service is disabled  any services that explicitly depend on it will fail to start.,Remote Registry,NB0008RYA,RemoteRegistry,C:\Windows\System32\svchost.exe,Microsoft Windows Production PCA 2011,Microsoft Windows,0b22420be607ddd048b11192d97a6745,The file is signed and the signature was verified.,true,0
\SystemRoot\System32\drivers\WinUSB.SYS,,WinUsb Driver,NB0008RYA,WINUSB,C:\Windows\System32\drivers\winusb.sys,Microsoft Windows Production PCA 2011,Microsoft Windows,5fe985beb5c37ad6edae909b7f564c4a,The file is signed and the signature was verified.,true,0
system32\drivers\dam.sys,Controls activity of desktop applications,Desktop Activity Moderator Driver,NB0008RYA,dam,C:\Windows\System32\drivers\dam.sys,Microsoft Windows Production PCA 2011,Microsoft Windows,ff5d1b7f5829e96deea7c62e6b903c38,The file is signed and the signature was verified.,true,0
\SystemRoot\System32\drivers\fcvsc.sys,,fcvsc,NB0008RYA,fcvsc,C:\Windows\System32\drivers\fcvsc.sys,Microsoft Windows Production PCA 2011,Microsoft Windows,497edbe7a1d7ce6694677432ffe44ea1,The file is signed and the signature was verified.,true,0
System32\drivers\pacer.sys,QoS Packet Scheduler,QoS Packet Scheduler,NB0008RYA,Psched,C:\Windows\System32\drivers\pacer.sys,Microsoft Windows Production PCA 2011,Microsoft Windows,c91b1944835b81041beea9be5aa6d56d,The file is signed and the signature was verified.,true,0
C:\Windows\system32\svchost.exe -k netsvcs,Facilitates the running of interactive applications with additional administrative privileges.  If this service is stopped  users will be unable to launch applications with the additional administrative privileges they may require to perform desired user tasks.,Application Information,NB0008RYA,Appinfo,C:\Windows\System32\svchost.exe,Microsoft Windows Production PCA 2011,Microsoft Windows,0b22420be607ddd048b11192d97a6745,The file is signed and the signature was verified.,true,772
C:\Windows\system32\svchost.exe -k LocalServiceAndNoImpersonation,Allows UPnP devices to be hosted on this computer. If this service is stopped  any hosted UPnP devices will stop functioning and no additional hosted devices can be added. If this service is disabled  any services that explicitly depend on it will fail to start.,UPnP Device Host,NB0008RYA,upnphost,C:\Windows\System32\svchost.exe,Microsoft Windows Production PCA 2011,Microsoft Windows,0b22420be607ddd048b11192d97a6745,The file is signed and the signature was verified.,true,0
\SystemRoot\System32\drivers\parport.sys,,Parallel port driver,NB0008RYA,Parport,C:\Windows\System32\drivers\parport.sys,Microsoft Windows Production PCA 2011,Microsoft Windows,f898583c9fd57078ffefde469629f321,The file is signed and the signature was verified.,true,0
C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted,Creates and manages user-mode driver processes. This service cannot be stopped.,Windows Driver Foundation - User-mode Driver Framework,NB0008RYA,wudfsvc,C:\Windows\System32\svchost.exe,Microsoft Windows Production PCA 2011,Microsoft Windows,0b22420be607ddd048b11192d97a6745,The file is signed and the signature was verified.,true,0
C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted,The Diagnostic System Host is used by the Diagnostic Policy Service to host diagnostics that need to run in a Local System context.  If this service is stopped  any diagnostics that depend on it will no longer function.,Diagnostic System Host,NB0008RYA,WdiSystemHost,C:\Windows\System32\svchost.exe,Microsoft Windows Production PCA 2011,Microsoft Windows,0b22420be607ddd048b11192d97a6745,The file is signed and the signature was verified.,true,0
C:\Windows\system32\svchost.exe -k netsvcs,Provides authentication and authorization services for interacting with Xbox Live. If this service is stopped  some applications may not operate correctly.,Xbox Live Auth Manager,NB0008RYA,XblAuthManager,C:\Windows\System32\svchost.exe,Microsoft Windows Production PCA 2011,Microsoft Windows,0b22420be607ddd048b11192d97a6745,The file is signed and the signature was verified.,true,0
\SystemRoot\System32\drivers\vhdmp.sys,,vhdmp,NB0008RYA,vhdmp,C:\Windows\System32\drivers\vhdmp.sys,Microsoft Windows Production PCA 2011,Microsoft Windows,95f95580d4749b04e195328a46223c15,The file is signed and the signature was verified.,true,0
\SystemRoot\System32\drivers\SiSRaid2.sys,,SiSRaid2,NB0008RYA,SiSRaid2,C:\Windows\System32\drivers\sisraid2.sys,Microsoft Windows Production PCA 2011,Microsoft Windows,fd5820175f6adabc19a88d6098b121ec,The file is signed and the signature was verified.,true,0
\SystemRoot\System32\drivers\fileinfo.sys,Collects information about files in memory to be consumed by other system services.,File Information FS MiniFilter,NB0008RYA,FileInfo,C:\Windows\System32\drivers\fileinfo.sys,Microsoft Windows Production PCA 2011,Microsoft Windows,04864550f917a6619a143f5770087a10,The file is signed and the signature was verified.,true,0
C:\Windows\System32\svchost.exe -k smbsvcs,Maintains an updated list of computers on the network and supplies this list to computers designated as browsers. If this service is stopped  this list will not be updated or maintained. If this service is disabled  any services that explicitly depend on it will fail to start.,Computer Browser,NB0008RYA,Browser,C:\Windows\System32\svchost.exe,Microsoft Windows Production PCA 2011,Microsoft Windows,0b22420be607ddd048b11192d97a6745,The file is signed and the signature was verified.,true,0
\SystemRoot\System32\drivers\rassstp.sys,WAN Miniport (SSTP),WAN Miniport (SSTP),NB0008RYA,RasSstp,C:\Windows\System32\drivers\rassstp.sys,Microsoft Windows Production PCA 2011,Microsoft Windows,41d0146d61e3884dd2ba8eb86f61a4a2,The file is signed and the signature was verified.,true,0
\SystemRoot\System32\drivers\bxois.sys,,QLogic Offload iSCSI Driver,NB0008RYA,bxois,C:\Windows\System32\drivers\bxois.sys,Microsoft Windows Production PCA 2011,Microsoft Windows,81d6b86735faab4affd1ac9025e1e4eb,The file is signed and the signature was verified.,true,0
system32\drivers\ipsecgw.sys,This service provides a optimized network data path for IPsec Gateway,Windows IPsec Gateway Driver,NB0008RYA,IPsecGW,C:\Windows\System32\drivers\ipsecgw.sys,Microsoft Windows Production PCA 2011,Microsoft Windows,4f645a2df63c1e93a12f3bf96896fb88,The file is signed and the signature was verified.,true,0
C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted,Maintains and improves system performance over time.,Superfetch,NB0008RYA,SysMain,C:\Windows\System32\svchost.exe,Microsoft Windows Production PCA 2011,Microsoft Windows,0b22420be607ddd048b11192d97a6745,The file is signed and the signature was verified.,true,0
C:\Windows\system32\svchost.exe -k netsvcs,The service is responsible for applying settings configured by administrators for the computer and users through the Group Policy component. If the service is disabled  the settings will not be applied and applications and components will not be manageable through Group Policy. Any components or applications that depend on the Group Policy component might not be functional if the service is disabled.,Group Policy Client,NB0008RYA,gpsvc,C:\Windows\System32\svchost.exe,Microsoft Windows Production PCA 2011,Microsoft Windows,0b22420be607ddd048b11192d97a6745,The file is signed and the signature was verified.,true,772
\SystemRoot\System32\drivers\amdsata.sys,,amdsata,NB0008RYA,amdsata,C:\Windows\System32\drivers\amdsata.sys,Microsoft Windows Production PCA 2011,Microsoft Windows,4477614173462397d9aae35a6e1d605e,The file is signed and the signature was verified.,true,0
\SystemRoot\System32\drivers\tsusbhub.sys,,Remote Desktop USB Hub,NB0008RYA,tsusbhub,C:\Windows\System32\drivers\tsusbhub.sys,Microsoft Windows Production PCA 2011,Microsoft Windows,8ab2c8c27b763e54d0d93c27f1637e8c,The file is signed and the signature was verified.,true,0
\SystemRoot\System32\drivers\atapi.sys,,IDE Channel,NB0008RYA,atapi,C:\Windows\System32\drivers\atapi.sys,Microsoft Windows Production PCA 2011,Microsoft Windows,77f04cc5d83ebec733c7dc5e8da431fb,The file is signed and the signature was verified.,true,0
C:\Windows\system32\AppVClient.exe,Manages App-V users and virtual applications,Microsoft App-V Client,NB0008RYA,AppVClient,C:\Windows\System32\AppVClient.exe,Microsoft Windows Production PCA 2011,Microsoft Windows,a0b9a2cc380bf6fcc404d225112f94e2,The file is signed and the signature was verified.,true,0
\SystemRoot\System32\drivers\AgileVpn.sys,WAN Miniport (IKEv2),WAN Miniport (IKEv2),NB0008RYA,RasAgileVpn,C:\Windows\System32\drivers\agilevpn.sys,Microsoft Windows Production PCA 2011,Microsoft Windows,8e808d956d122c19c46c2009136dc84d,The file is signed and the signature was verified.,true,0
C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted,Provides process isolation for cryptographic keys used to authenticate to a userâ€™s associated identity providers. If this service is disabled  all uses and management of these keys will not be available  which includes machine logon and single-sign on for apps and websites. This service starts and stops automatically. It is recommended that you do not reconfigure this service.,Microsoft Passport,NB0008RYA,NgcSvc,C:\Windows\System32\svchost.exe,Microsoft Windows Production PCA 2011,Microsoft Windows,0b22420be607ddd048b11192d97a6745,The file is signed and the signature was verified.,true,0
\SystemRoot\System32\drivers\ndfltr.sys,,NetworkDirect Service,NB0008RYA,ndfltr,C:\Windows\System32\drivers\ndfltr.sys,Microsoft Windows Production PCA 2011,Microsoft Windows,8cb92c46ec4111934cd2c82577f8f197,The file is signed and the signature was verified.,true,0
\SystemRoot\System32\drivers\VMBusHID.sys,,VMBusHID,NB0008RYA,VMBusHID,C:\Windows\System32\drivers\VMBusHID.sys,Microsoft Windows Production PCA 2011,Microsoft Windows,f7f763e917aa3a53b0372e79878773c4,The file is signed and the signature was verified.,true,0
C:\Windows\System32\svchost.exe -k NetworkService,Windows service for application access to downloaded maps. This service is started on-demand by application accessing downloaded maps. Disabling this service will prevent apps from accessing maps.,Downloaded Maps Manager,NB0008RYA,MapsBroker,C:\Windows\System32\svchost.exe,Microsoft Windows Production PCA 2011,Microsoft Windows,0b22420be607ddd048b11192d97a6745,The file is signed and the signature was verified.,true,0
C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted,Provides data brokering between applications.,Data Sharing Service,NB0008RYA,DsSvc,C:\Windows\System32\svchost.exe,Microsoft Windows Production PCA 2011,Microsoft Windows,0b22420be607ddd048b11192d97a6745,The file is signed and the signature was verified.,true,0
system32\drivers\wimmount.sys,WIM Image mount service driver,WIMMount,NB0008RYA,WIMMount,C:\Windows\System32\drivers\wimmount.sys,Microsoft Windows Production PCA 2011,Microsoft Windows,8bf7838059b39e63fdc9af6543470222,The file is signed and the signature was verified.,true,0
\SystemRoot\System32\drivers\urschipidea.sys,,Chipidea USB Role-Switch Driver,NB0008RYA,UrsChipidea,C:\Windows\System32\drivers\urschipidea.sys,Microsoft Windows Production PCA 2011,Microsoft Windows,fd888b777117e5269b79e4f55e01317a,The file is signed and the signature was verified.,true,0
C:\Windows\system32\svchost.exe -k LocalServiceNetworkRestricted,Manages local user identity keys used to authenticate user to identity providers as well as TPM virtual smart cards. If this service is disabled  local user identity keys and TPM virtual smart cards will not be accessible. It is recommended that you do not reconfigure this service.,Microsoft Passport Container,NB0008RYA,NgcCtnrSvc,C:\Windows\System32\svchost.exe,Microsoft Windows Production PCA 2011,Microsoft Windows,0b22420be607ddd048b11192d97a6745,The file is signed and the signature was verified.,true,0
C:\Windows\system32\svchost.exe -k UnistackSvcGroup,,CDPUserSvc_6934d,NB0008RYA,CDPUserSvc_6934d,C:\Windows\System32\svchost.exe,Microsoft Windows Production PCA 2011,Microsoft Windows,0b22420be607ddd048b11192d97a6745,The file is signed and the signature was verified.,true,700
system32\DRIVERS\cdfs.sys,ISO9660/Joliet File System Reader for CD/DVDs. (Core) (All pieces),CD/DVD File System Reader,NB0008RYA,cdfs,C:\Windows\System32\drivers\cdfs.sys,Microsoft Windows Production PCA 2011,Microsoft Windows,e3cea481daac4fd67db74f2af3fc1515,The file is signed and the signature was verified.,true,0
\SystemRoot\system32\drivers\ws2ifsl.sys,Winsock IFS Driver,Winsock IFS Driver,NB0008RYA,ws2ifsl,C:\Windows\System32\drivers\ws2ifsl.sys,Microsoft Windows Production PCA 2011,Microsoft Windows,3004580ea2098043ceff7dcc25842ae0,The file is signed and the signature was verified.,true,0
\SystemRoot\System32\drivers\usbuhci.sys,,Microsoft USB Universal Host Controller Miniport Driver,NB0008RYA,usbuhci,C:\Windows\System32\drivers\usbuhci.sys,Microsoft Windows Production PCA 2011,Microsoft Windows,5355ca6b414915d989a6a64fcb863758,The file is signed and the signature was verified.,true,0
C:\Windows\system32\svchost.exe -k NetworkService,The DNS Client service (dnscache) caches Domain Name System (DNS) names and registers the full computer name for this computer. If the service is stopped  DNS names will continue to be resolved. However  the results of DNS name queries will not be cached and the computer's name will not be registered. If the service is disabled  any services that explicitly depend on it will fail to start.,DNS Client,NB0008RYA,Dnscache,C:\Windows\System32\svchost.exe,Microsoft Windows Production PCA 2011,Microsoft Windows,0b22420be607ddd048b11192d97a6745,The file is signed and the signature was verified.,true,292
C:\Windows\system32\svchost.exe -k netsvcs,Performs Device Enrollment Activities for Device Management,Device Management Enrollment Service,NB0008RYA,DmEnrollmentSvc,C:\Windows\System32\svchost.exe,Microsoft Windows Production PCA 2011,Microsoft Windows,0b22420be607ddd048b11192d97a6745,The file is signed and the signature was verified.,true,0
\SystemRoot\System32\drivers\amdk8.sys,,AMD K8 Processor Driver,NB0008RYA,AmdK8,C:\Windows\System32\drivers\amdk8.sys,Microsoft Windows Production PCA 2011,Microsoft Windows,719fc37ae9e1de03cc74a850a223603f,The file is signed and the signature was verified.,true,0
C:\Windows\System32\svchost.exe -k netsvcs,The Extensible Authentication Protocol (EAP) service provides network authentication in such scenarios as 802.1x wired and wireless  VPN  and Network Access Protection (NAP).  EAP also provides application programming interfaces (APIs) that are used by network access clients  including wireless and VPN clients  during the authentication process.  If you disable this service  this computer is prevented from accessing networks that require EAP authentication.,Extensible Authentication Protocol,NB0008RYA,Eaphost,C:\Windows\System32\svchost.exe,Microsoft Windows Production PCA 2011,Microsoft Windows,0b22420be607ddd048b11192d97a6745,The file is signed and the signature was verified.,true,0
\SystemRoot\System32\drivers\ACPI.sys,,Microsoft ACPI Driver,NB0008RYA,ACPI,C:\Windows\System32\drivers\acpi.sys,Microsoft Windows Production PCA 2011,Microsoft Windows,24288f27fff1976aa774c5c8ec9c1303,The file is signed and the signature was verified.,true,0
system32\drivers\HTTP.sys,HTTP Service,HTTP Service,NB0008RYA,HTTP,C:\Windows\System32\drivers\http.sys,Microsoft Windows Production PCA 2011,Microsoft Windows,dbe152e764ac8280850523cace5899a5,The file is signed and the signature was verified.,true,0
\SystemRoot\System32\drivers\cdrom.sys,,CD-ROM Driver,NB0008RYA,cdrom,C:\Windows\System32\drivers\cdrom.sys,Microsoft Windows Production PCA 2011,Microsoft Windows,debb5fe84588a71f6eb4262bb519d6fa,The file is signed and the signature was verified.,true,0
\SystemRoot\System32\drivers\mountmgr.sys,Driver responsible with maintaining persistent drive letters and names for volumes,Mount Point Manager,NB0008RYA,mountmgr,C:\Windows\System32\drivers\mountmgr.sys,Microsoft Windows Production PCA 2011,Microsoft Windows,d3bafdb7f6dd11d2476d7feadbe2a56d,The file is signed and the signature was verified.,true,0
\SystemRoot\System32\drivers\EhStorTcgDrv.sys,,Microsoft driver for storage devices supporting IEEE 1667 and TCG protocols,NB0008RYA,EhStorTcgDrv,C:\Windows\System32\drivers\EhStorTcgDrv.sys,Microsoft Windows Production PCA 2011,Microsoft Windows,e371c7fa3bd80a4c4d6d698920e387c0,The file is signed and the signature was verified.,true,0
System32\drivers\FsDepends.sys,This minifilter tracks the dependencies associated with the various nested volumes/filesystems,File System Dependency Minifilter,NB0008RYA,FsDepends,C:\Windows\System32\drivers\FsDepends.sys,Microsoft Windows Production PCA 2011,Microsoft Windows,ac1bb465b39a8791eabe924a76426d20,The file is signed and the signature was verified.,true,0
C:\Windows\System32\svchost.exe -k Camera,Enables multiple clients to access video frames from camera devices.,Windows Camera Frame Server,NB0008RYA,FrameServer,C:\Windows\System32\svchost.exe,Microsoft Windows Production PCA 2011,Microsoft Windows,0b22420be607ddd048b11192d97a6745,The file is signed and the signature was verified.,true,0
\SystemRoot\System32\drivers\sdbus.sys,,sdbus,NB0008RYA,sdbus,C:\Windows\System32\drivers\sdbus.sys,Microsoft Windows Production PCA 2011,Microsoft Windows,854921d1fbd8f132f0510020e8e6edfb,The file is signed and the signature was verified.,true,0
\SystemRoot\System32\drivers\percsas3i.sys,,percsas3i,NB0008RYA,percsas3i,C:\Windows\System32\drivers\percsas3i.sys,Microsoft Windows Production PCA 2011,Microsoft Windows,72bad112556c712f28d1f5d7d072ddc8,The file is signed and the signature was verified.,true,0
C:\Windows\System32\svchost.exe -k netsvcs,Transfers files in the background using idle network bandwidth. If the service is disabled  then any applications that depend on BITS  such as Windows Update or MSN Explorer  will be unable to automatically download programs and other information.,Background Intelligent Transfer Service,NB0008RYA,BITS,C:\Windows\System32\svchost.exe,Microsoft Windows Production PCA 2011,Microsoft Windows,0b22420be607ddd048b11192d97a6745,The file is signed and the signature was verified.,true,0
\SystemRoot\System32\drivers\urssynopsys.sys,,Synopsys USB Role-Switch Driver,NB0008RYA,UrsSynopsys,C:\Windows\System32\drivers\urssynopsys.sys,Microsoft Windows Production PCA 2011,Microsoft Windows,11940f98ad34ad14386b05d24cd0bfee,The file is signed and the signature was verified.,true,0
C:\Windows\system32\svchost.exe -k DcomLaunch,Windows infrastructure service that controls which background tasks can run on the system.,Background Tasks Infrastructure Service,NB0008RYA,BrokerInfrastructure,C:\Windows\System32\svchost.exe,Microsoft Windows Production PCA 2011,Microsoft Windows,0b22420be607ddd048b11192d97a6745,The file is signed and the signature was verified.,true,588
\SystemRoot\System32\drivers\msisadrv.sys,,msisadrv,NB0008RYA,msisadrv,C:\Windows\System32\drivers\msisadrv.sys,Microsoft Windows Production PCA 2011,Microsoft Windows,9ddb4338b085e0c73ded0b3a3ec6d51f,The file is signed and the signature was verified.,true,0
\SystemRoot\System32\drivers\acpipagr.sys,,ACPI Processor Aggregator Driver,NB0008RYA,acpipagr,C:\Windows\System32\drivers\acpipagr.sys,Microsoft Windows Production PCA 2011,Microsoft Windows,a017cd3dd648da9aacbb8dc61bb0ac29,The file is signed and the signature was verified.,true,0
C:\Windows\System32\svchost.exe -k LocalServiceNoNetwork,Performance Logs and Alerts Collects performance data from local or remote computers based on preconfigured schedule parameters  then writes the data to a log or triggers an alert. If this service is stopped  performance information will not be collected. If this service is disabled  any services that explicitly depend on it will fail to start.,Performance Logs &amp; Alerts,NB0008RYA,pla,C:\Windows\System32\svchost.exe,Microsoft Windows Production PCA 2011,Microsoft Windows,0b22420be607ddd048b11192d97a6745,The file is signed and the signature was verified.,true,0
System32\Drivers\dfsc.sys,Client driver for access to DFS Namespaces,DFS Namespace Client Driver,NB0008RYA,Dfsc,C:\Windows\System32\drivers\dfsc.sys,Microsoft Windows Production PCA 2011,Microsoft Windows,cf816eac304f97ea5da2c61d06f9b9ff,The file is signed and the signature was verified.,true,0
\SystemRoot\system32\drivers\UevAgentDriver.sys,User Experience Virtualization Agent Driver,UevAgentDriver,NB0008RYA,UevAgentDriver,C:\Windows\System32\drivers\UevAgentDriver.sys,Microsoft Windows Production PCA 2011,Microsoft Windows,f0854e8126b76e2d73453c421d134188,The file is signed and the signature was verified.,true,0
C:\Windows\System32\svchost.exe -k netsvcs,Remote Desktop Configuration service (RDCS) is responsible for all Remote Desktop Services and Remote Desktop related configuration and session maintenance activities that require SYSTEM context. These include per-session temporary folders  RD themes  and RD certificates.,Remote Desktop Configuration,NB0008RYA,SessionEnv,C:\Windows\System32\svchost.exe,Microsoft Windows Production PCA 2011,Microsoft Windows,0b22420be607ddd048b11192d97a6745,The file is signed and the signature was verified.,true,772
\SystemRoot\System32\drivers\umpass.sys,,Microsoft UMPass Driver,NB0008RYA,UmPass,C:\Windows\System32\drivers\umpass.sys,Microsoft Windows Production PCA 2011,Microsoft Windows,8e900c50791b85e6c336ad7a70e04b4b,The file is signed and the signature was verified.,true,0
\SystemRoot\System32\drivers\AcpiDev.sys,,ACPI Devices driver,NB0008RYA,AcpiDev,C:\Windows\System32\drivers\AcpiDev.sys,Microsoft Windows Production PCA 2011,Microsoft Windows,f88256b4ff580921012922c5f0ba3a43,The file is signed and the signature was verified.,true,0
\SystemRoot\System32\drivers\ufxsynopsys.sys,,USB Synopsys Controller,NB0008RYA,ufxsynopsys,C:\Windows\System32\drivers\ufxsynopsys.sys,Microsoft Windows Production PCA 2011,Microsoft Windows,c50d8c61fd9e1f556113d5401e84c165,The file is signed and the signature was verified.,true,0
system32\drivers\ucx01000.sys,,USB Host Support Library,NB0008RYA,Ucx01000,C:\Windows\System32\drivers\Ucx01000.sys,Microsoft Windows Production PCA 2011,Microsoft Windows,fbec9db615936a170956911690745356,The file is signed and the signature was verified.,true,0
C:\Windows\System32\svchost.exe -k smphost,Host service for the Microsoft Storage Spaces management provider. If this service is stopped or disabled  Storage Spaces cannot be managed.,Microsoft Storage Spaces SMP,NB0008RYA,smphost,C:\Windows\System32\svchost.exe,Microsoft Windows Production PCA 2011,Microsoft Windows,0b22420be607ddd048b11192d97a6745,The file is signed and the signature was verified.,true,0
\SystemRoot\System32\drivers\scmbus.sys,,Microsoft Storage Class Memory Bus Driver,NB0008RYA,scmbus,C:\Windows\System32\drivers\scmbus.sys,Microsoft Windows Production PCA 2011,Microsoft Windows,346416daf6ba90ef991a6443669e8011,The file is signed and the signature was verified.,true,0
\SystemRoot\System32\drivers\usbehci.sys,,Microsoft USB 2.0 Enhanced Host Controller Miniport Driver,NB0008RYA,usbehci,C:\Windows\System32\drivers\usbehci.sys,Microsoft Windows Production PCA 2011,Microsoft Windows,15aeb4927a1ba5201e64a07f1b96687a,The file is signed and the signature was verified.,true,0
C:\Windows\system32\svchost.exe -k LocalService,Automatically sets the system time zone.,Auto Time Zone Updater,NB0008RYA,tzautoupdate,C:\Windows\System32\svchost.exe,Microsoft Windows Production PCA 2011,Microsoft Windows,0b22420be607ddd048b11192d97a6745,The file is signed and the signature was verified.,true,0
