arguments,description,descriptivename,hostname,md5,name,path,pathcertificateissuer,pathcertificatesubject,pathsignaturedescription,pathsignatureexists,pathsignatureverified,servicedll,type
\SystemRoot\system32\drivers\lsi_fc.sys,,LSI_FC,EC0003XSC,03886d9e8099c96f3d6815200842c9ca,LSI_FC,C:\Windows\System32\drivers\lsi_fc.sys,Microsoft Windows Verification PCA,Microsoft Windows,The file is signed and the signature was verified.,true,true,,SERVICE_KERNEL_DRIVER
C:\Windows\System32\svchost.exe -k NetworkService,The Network Access Protection (NAP) agent service collects and manages health information for client computers on a network. Information collected by NAP agent is used to make sure that the client computer has the required software and settings. If a client computer is not compliant with health policy  it can be provided with restricted network access until its configuration is updated. Depending on the configuration of health policy  client computers might be automatically updated so that users quickly regain full network access without having to manually update their computer.,Network Access Protection Agent,EC0003XSC,741d8feeba91a40f2d6a9fda67cc6f0f,napagent,C:\Windows\System32\svchost.exe,Microsoft Windows Verification PCA,Microsoft Windows,The file is signed and the signature was verified.,true,true,C:\Windows\System32\QAGENTRT.DLL,SERVICE_WIN32_SHARE_PROCESS
C:\Windows\system32\lsass.exe,The startup of this service signals other services that the Security Accounts Manager (SAM) is ready to accept requests.  Disabling this service will prevent other services in the system from being notified when the SAM is ready  which may in turn cause those services to fail to start correctly. This service should not be disabled.,Security Accounts Manager,EC0003XSC,63d8919bd82ff4caa2fbb33123905320,SamSs,C:\Windows\System32\lsass.exe,Microsoft Windows Verification PCA,Microsoft Windows,The file is signed and the signature was verified.,true,true,,SERVICE_WIN32_SHARE_PROCESS
\SystemRoot\System32\Drivers\Brserid.sys,,Brother MFC Serial Port Interface Driver (WDM),EC0003XSC,732ba610788d95c184274ae87d77860f,Brserid,C:\Windows\System32\drivers\BrSerId.sys,Microsoft Windows Verification PCA,Microsoft Windows,The file is signed and the signature was verified.,true,true,,SERVICE_KERNEL_DRIVER
\SystemRoot\System32\drivers\pcw.sys,,Performance Counters for Windows Driver,EC0003XSC,39956b8c320ebd9e183f2feaf56144ae,pcw,C:\Windows\System32\drivers\pcw.sys,Microsoft Windows Verification PCA,Microsoft Windows,The file is signed and the signature was verified.,true,true,,SERVICE_KERNEL_DRIVER
system32\DRIVERS\rassstp.sys,WAN Miniport (SSTP),WAN Miniport (SSTP),EC0003XSC,d2d2eac8b0bfb24d2f032960ef48564b,RasSstp,C:\Windows\System32\drivers\rassstp.sys,Microsoft Windows Verification PCA,Microsoft Windows,The file is signed and the signature was verified.,true,true,,SERVICE_KERNEL_DRIVER
\SystemRoot\system32\drivers\vhdmp.sys,,vhdmp,EC0003XSC,0b4fb056f080655d1760a234b5450e2b,vhdmp,C:\Windows\System32\drivers\vhdmp.sys,Microsoft Windows Verification PCA,Microsoft Windows,The file is signed and the signature was verified.,true,true,,SERVICE_KERNEL_DRIVER
C:\Windows\system32\svchost.exe -k NetworkService,Provides four management services: Catalog Database Service  which confirms the signatures of Windows files and allows new programs to be installed; Protected Root Service  which adds and removes Trusted Root Certification Authority certificates from this computer; Automatic Root Certificate Update Service  which retrieves root certificates from Windows Update and enable scenarios such as SSL; and Key Service  which helps enroll this computer for certificates. If this service is stopped  these management services will not function properly. If this service is disabled  any services that explicitly depend on it will fail to start.,Cryptographic Services,EC0003XSC,741d8feeba91a40f2d6a9fda67cc6f0f,CryptSvc,C:\Windows\System32\svchost.exe,Microsoft Windows Verification PCA,Microsoft Windows,The file is signed and the signature was verified.,true,true,C:\Windows\System32\cryptsvc.dll,SERVICE_WIN32_SHARE_PROCESS
system32\DRIVERS\AgileVpn.sys,WAN Miniport (IKEv2),WAN Miniport (IKEv2),EC0003XSC,8d14c8fad0f45d4408bb55dd73842a19,RasAgileVpn,C:\Windows\System32\drivers\agilevpn.sys,Microsoft Windows Verification PCA,Microsoft Windows,The file is signed and the signature was verified.,true,true,,SERVICE_KERNEL_DRIVER
System32\DRIVERS\srv2.sys,Enables connectivity from Windows Vista and later clients,Server SMB 2.xxx Driver,EC0003XSC,84ef95872ea649e05271c2747e6812e5,srv2,C:\Windows\System32\drivers\srv2.sys,Microsoft Windows Verification PCA,Microsoft Windows,The file is signed and the signature was verified.,true,true,,SERVICE_FILE_SYSTEM_DRIVER
\SystemRoot\system32\drivers\wd.sys,,Wd,EC0003XSC,8213513769fb83f57830d15634aaee8b,Wd,C:\Windows\System32\drivers\wd.sys,Microsoft Windows Verification PCA,Microsoft Windows,The file is signed and the signature was verified.,true,true,,SERVICE_KERNEL_DRIVER
\SystemRoot\system32\drivers\volmgr.sys,,Volume Manager Driver,EC0003XSC,5fbe52c03155e218c3761b9440367e6b,volmgr,C:\Windows\System32\drivers\volmgr.sys,Microsoft Windows Verification PCA,Microsoft Windows,The file is signed and the signature was verified.,true,true,,SERVICE_KERNEL_DRIVER
C:\Windows\Microsoft.NET\Framework64\v4.0.30319\SMSvcHost.exe,Receives activation requests over the net.tcp protocol and passes them to the Windows Process Activation Service.,Net.Tcp Listener Adapter,EC0003XSC,964562635e7e159b65dc2658f375015e,NetTcpActivator,C:\Windows\Microsoft.NET\Framework64\v4.0.30319\SMSvcHost.exe,Microsoft Code Signing PCA,Microsoft Corporation,The file is signed and the signature was verified.,true,true,,SERVICE_WIN32_SHARE_PROCESS
C:\Windows\System32\svchost.exe -k LocalService,The Diagnostic Service Host is used by the Diagnostic Policy Service to host diagnostics that need to run in a Local Service context.  If this service is stopped  any diagnostics that depend on it will no longer function.,Diagnostic Service Host,EC0003XSC,741d8feeba91a40f2d6a9fda67cc6f0f,WdiServiceHost,C:\Windows\System32\svchost.exe,Microsoft Windows Verification PCA,Microsoft Windows,The file is signed and the signature was verified.,true,true,C:\Windows\System32\wdi.dll,SERVICE_WIN32_SHARE_PROCESS
\SystemRoot\system32\drivers\agp440.sys,,Intel AGP Bus Filter,EC0003XSC,750e042f6797413fd06369c0ca34a908,agp440,C:\Windows\System32\drivers\AGP440.sys,Microsoft Windows Verification PCA,Microsoft Windows,The file is signed and the signature was verified.,true,true,,SERVICE_KERNEL_DRIVER
\SystemRoot\system32\drivers\compbatt.sys,,Compbatt,EC0003XSC,4b766b4c29dd204ebd5f8ae89ac9e2ce,Compbatt,C:\Windows\System32\drivers\compbatt.sys,Microsoft Windows Verification PCA,Microsoft Windows,The file is signed and the signature was verified.,true,true,,SERVICE_KERNEL_DRIVER
\SystemRoot\system32\drivers\parport.sys,,Parallel port driver,EC0003XSC,84f963354e7deeec8dedb99894b91f96,Parport,C:\Windows\System32\drivers\parport.sys,Microsoft Windows Verification PCA,Microsoft Windows,The file is signed and the signature was verified.,true,true,,SERVICE_KERNEL_DRIVER
system32\DRIVERS\mrxsmb.sys,Implements the framework for the SMB filesystem redirector,SMB MiniRedirector Wrapper and Engine,EC0003XSC,3731e4660da2277cedd02bdaa5977c48,mrxsmb,C:\Windows\System32\drivers\mrxsmb.sys,Microsoft Windows Verification PCA,Microsoft Windows,The file is signed and the signature was verified.,true,true,,SERVICE_FILE_SYSTEM_DRIVER
\SystemRoot\system32\drivers\mouhid.sys,,Mouse HID Driver,EC0003XSC,346e55acd090bbb7bfd6eba091cf203a,mouhid,C:\Windows\System32\drivers\mouhid.sys,Microsoft Windows Verification PCA,Microsoft Windows,The file is signed and the signature was verified.,true,true,,SERVICE_KERNEL_DRIVER
system32\drivers\filetrace.sys,ETW File Trace Filter,Filetrace,EC0003XSC,8fdd47cda6ee8bf5ae56f409b478992b,Filetrace,C:\Windows\System32\drivers\filetrace.sys,Microsoft Windows Verification PCA,Microsoft Windows,The file is signed and the signature was verified.,true,true,,SERVICE_FILE_SYSTEM_DRIVER
System32\drivers\ipnat.sys,,IP Network Address Translator,EC0003XSC,1e35f31171412e66dcee14a6e5618ad2,IPNAT,C:\Windows\System32\drivers\ipnat.sys,Microsoft Windows Verification PCA,Microsoft Windows,The file is signed and the signature was verified.,true,true,,SERVICE_KERNEL_DRIVER
C:\Windows\system32\svchost.exe -k LocalService,Provides support for the Secure Socket Tunneling Protocol (SSTP) to connect to remote computers using VPN. If this service is disabled  users will not be able to use SSTP to access remote servers.,Secure Socket Tunneling Protocol Service,EC0003XSC,741d8feeba91a40f2d6a9fda67cc6f0f,SstpSvc,C:\Windows\System32\svchost.exe,Microsoft Windows Verification PCA,Microsoft Windows,The file is signed and the signature was verified.,true,true,C:\Windows\System32\sstpsvc.dll,SERVICE_WIN32_SHARE_PROCESS
system32\drivers\rdpencdd.sys,RDP Encoder Mirror Driver,RDP Encoder Mirror Driver,EC0003XSC,759078debef773e6edf4cf2813aecf4e,RDPENCDD,C:\Windows\System32\drivers\RDPENCDD.sys,Microsoft Windows Verification PCA,Microsoft Windows,The file is signed and the signature was verified.,true,true,,SERVICE_KERNEL_DRIVER
C:\Windows\System32\svchost.exe -k netsvcs,Provides X.509 certificate and key management services for the Network Access Protection Agent (NAPAgent). Enforcement technologies that use X.509 certificates may not function properly without this service,Health Key and Certificate Management,EC0003XSC,741d8feeba91a40f2d6a9fda67cc6f0f,hkmsvc,C:\Windows\System32\svchost.exe,Microsoft Windows Verification PCA,Microsoft Windows,The file is signed and the signature was verified.,true,true,C:\Windows\System32\KMSVC.DLL,SERVICE_WIN32_SHARE_PROCESS
C:\Windows\Microsoft.NET\Framework64\v4.0.30319\SMSvcHost.exe -NetMsmqActivator,Receives activation requests over the net.msmq and msmq.formatname protocols and passes them to the Windows Process Activation Service.,Net.Msmq Listener Adapter,EC0003XSC,964562635e7e159b65dc2658f375015e,NetMsmqActivator,C:\Windows\Microsoft.NET\Framework64\v4.0.30319\SMSvcHost.exe,Microsoft Code Signing PCA,Microsoft Corporation,The file is signed and the signature was verified.,true,true,,SERVICE_WIN32_SHARE_PROCESS
C:\Windows\Microsoft.NET\Framework64\v4.0.30319\mscorsvw.exe,Microsoft .NET Framework NGEN,Microsoft .NET Framework NGEN v4.0.30319_X64,EC0003XSC,0ee45e1ad841423e2600bd486f517082,clr_optimization_v4.0.30319_64,C:\Windows\Microsoft.NET\Framework64\v4.0.30319\mscorsvw.exe,Microsoft Code Signing PCA,Microsoft Dynamic Code Publisher,The file is signed and the signature was verified.,true,true,,SERVICE_WIN32_OWN_PROCESS
System32\DRIVERS\tssecsrv.sys,Remote Desktop Services Security Filter Driver,Remote Desktop Services Security Filter Driver,EC0003XSC,0738853655db19b9c43515490b44909e,tssecsrv,C:\Windows\System32\drivers\tssecsrv.sys,Microsoft Windows Verification PCA,Microsoft Windows,The file is signed and the signature was verified.,true,true,,SERVICE_KERNEL_DRIVER
\SystemRoot\system32\drivers\usbprint.sys,,Microsoft USB PRINTER Class,EC0003XSC,9f224153cc5d8fff593c4d522682c239,usbprint,C:\Windows\System32\drivers\usbprint.sys,Microsoft Windows Verification PCA,Microsoft Windows,The file is signed and the signature was verified.,true,true,,SERVICE_KERNEL_DRIVER
\SystemRoot\system32\drivers\ql40xx.sys,,ql40xx,EC0003XSC,4538970d39b9c55d9ebae7597e0249f6,ql40xx,C:\Windows\System32\drivers\ql40xx.sys,Microsoft Windows Verification PCA,Microsoft Windows,The file is signed and the signature was verified.,true,true,,SERVICE_KERNEL_DRIVER
C:\Windows\system32\svchost.exe -k LocalService,This service delivers network notifications (e.g. interface addition/deleting etc) to user mode clients. Stopping this service will cause loss of network connectivity. If this service is disabled  any other services that explicitly depend on this service will fail to start.,Network Store Interface Service,EC0003XSC,741d8feeba91a40f2d6a9fda67cc6f0f,nsi,C:\Windows\System32\svchost.exe,Microsoft Windows Verification PCA,Microsoft Windows,The file is signed and the signature was verified.,true,true,C:\Windows\System32\nsisvc.dll,SERVICE_WIN32_SHARE_PROCESS
system32\DRIVERS\asyncmac.sys,RAS Asynchronous Media Driver,RAS Asynchronous Media Driver,EC0003XSC,6a896f075dfb8a2c9058660ad4d27b2f,AsyncMac,C:\Windows\System32\drivers\asyncmac.sys,Microsoft Windows Verification PCA,Microsoft Windows,The file is signed and the signature was verified.,true,true,,SERVICE_KERNEL_DRIVER
\SystemRoot\system32\drivers\pcmcia.sys,,pcmcia,EC0003XSC,7383eefe6e50f493e97724048c63cc46,pcmcia,C:\Windows\System32\drivers\pcmcia.sys,Microsoft Windows Verification PCA,Microsoft Windows,The file is signed and the signature was verified.,true,true,,SERVICE_KERNEL_DRIVER
C:\Windows\Microsoft.NET\Framework\v4.0.30319\mscorsvw.exe,Microsoft .NET Framework NGEN,Microsoft .NET Framework NGEN v4.0.30319_X86,EC0003XSC,f40a112db8f83b2feeea0db6f3758d24,clr_optimization_v4.0.30319_32,C:\Windows\Microsoft.NET\Framework\v4.0.30319\mscorsvw.exe,Microsoft Code Signing PCA,Microsoft Dynamic Code Publisher,The file is signed and the signature was verified.,true,true,,SERVICE_WIN32_OWN_PROCESS
C:\Windows\system32\IEEtwCollector.exe /V,ETW Collector Service for Internet Explorer. When running  this service collects real time ETW events and processes them.,Internet Explorer ETW Collector Service,EC0003XSC,df893e0a23193acc9acdd386e3bb98b2,IEEtwCollectorService,C:\Windows\System32\IEEtwCollector.exe,Microsoft Windows Verification PCA,Microsoft Windows,The file is signed and the signature was verified.,true,true,,SERVICE_WIN32_OWN_PROCESS
system32\DRIVERS\udfs.sys,Reads/Writes UDF 1.02 1.5 2.0x 2.5 disc formats  usually found on C/DVD discs. (Core) (All pieces),udfs,EC0003XSC,964c0417d6ea1a2cf494183b8a63d7c0,udfs,C:\Windows\System32\drivers\udfs.sys,Microsoft Windows Verification PCA,Microsoft Windows,The file is signed and the signature was verified.,true,true,,SERVICE_FILE_SYSTEM_DRIVER
system32\DRIVERS\umbus.sys,,UMBus Enumerator Driver,EC0003XSC,0b9e0ba7bf79cf8da7e1a5a594b85534,umbus,C:\Windows\System32\drivers\umbus.sys,Microsoft Windows Verification PCA,Microsoft Windows,The file is signed and the signature was verified.,true,true,,SERVICE_KERNEL_DRIVER
C:\Windows\system32\svchost.exe -k LocalServiceNetworkRestricted,Registers the platform with all available Fibre Channel fabrics  and maintains the registrations.,Microsoft Fibre Channel Platform Registration Service,EC0003XSC,741d8feeba91a40f2d6a9fda67cc6f0f,FCRegSvc,C:\Windows\System32\svchost.exe,Microsoft Windows Verification PCA,Microsoft Windows,The file is signed and the signature was verified.,true,true,C:\Windows\System32\FCRegSvc.dll,SERVICE_WIN32_SHARE_PROCESS
\SystemRoot\system32\drivers\blbdrive.sys,,blbdrive,EC0003XSC,9c7d4d173610f6073caaafcb30649503,blbdrive,C:\Windows\System32\drivers\blbdrive.sys,Microsoft Windows Verification PCA,Microsoft Windows,The file is signed and the signature was verified.,true,true,,SERVICE_KERNEL_DRIVER
\SystemRoot\system32\drivers\evbda.sys,,Broadcom NetXtreme II 10 GigE VBD,EC0003XSC,d6351101027b4f4eefca0a92ba41bb59,ebdrv,C:\Windows\System32\drivers\evbda.sys,Microsoft Windows Verification PCA,Microsoft Windows,The file is signed and the signature was verified.,true,true,,SERVICE_KERNEL_DRIVER
system32\drivers\aswKbd.sys,,aswKbd,EC0003XSC,bf53b5a4de20c0af1b109399c172bd7f,aswKbd,C:\Windows\System32\drivers\aswKbd.sys,DigiCert High Assurance Code Signing CA-1,AVAST Software s.r.o.,The file is signed and the signature was verified.,true,true,,SERVICE_KERNEL_DRIVER
System32\Drivers\dfsc.sys,Client driver for access to DFS Namespaces,DFS Namespace Client Driver,EC0003XSC,66028ea808b6c0f747dd6c0cce6471fa,DfsC,C:\Windows\System32\drivers\dfsc.sys,Microsoft Windows Verification PCA,Microsoft Windows,The file is signed and the signature was verified.,true,true,,SERVICE_FILE_SYSTEM_DRIVER
\SystemRoot\system32\drivers\errdev.sys,,Microsoft Hardware Error Device Driver,EC0003XSC,644cfef92128203f4131f68830e6c8e5,ErrDev,C:\Windows\System32\drivers\errdev.sys,Microsoft Windows Verification PCA,Microsoft Windows,The file is signed and the signature was verified.,true,true,,SERVICE_KERNEL_DRIVER
system32\drivers\peauth.sys,,PEAUTH,EC0003XSC,1b01da77874c44816a1b5e0dd7dd0428,PEAUTH,C:\Windows\System32\drivers\PEAuth.sys,Microsoft Windows Verification PCA,Microsoft Windows,The file is signed and the signature was verified.,true,true,,SERVICE_KERNEL_DRIVER
C:\Windows\System32\svchost.exe -k netsvcs,Creates a connection to a remote network whenever a program references a remote DNS or NetBIOS name or address.,Remote Access Auto Connection Manager,EC0003XSC,741d8feeba91a40f2d6a9fda67cc6f0f,RasAuto,C:\Windows\System32\svchost.exe,Microsoft Windows Verification PCA,Microsoft Windows,The file is signed and the signature was verified.,true,true,C:\Windows\System32\rasauto.dll,SERVICE_WIN32_SHARE_PROCESS
C:\Windows\system32\svchost.exe -k LocalService,Maintains date and time synchronization on all clients and servers in the network. If this service is stopped  date and time synchronization will be unavailable. If this service is disabled  any services that explicitly depend on it will fail to start.,Windows Time,EC0003XSC,741d8feeba91a40f2d6a9fda67cc6f0f,w32time,C:\Windows\System32\svchost.exe,Microsoft Windows Verification PCA,Microsoft Windows,The file is signed and the signature was verified.,true,true,C:\Windows\System32\w32time.dll,SERVICE_WIN32_SHARE_PROCESS
C:\Windows\System32\svchost.exe -k netsvcs,Remote Desktop Configuration service (RDCS) is responsible for all Remote Desktop Services and Remote Desktop related configuration and session maintenance activities that require SYSTEM context. These include per-session temporary folders  RD themes  and RD certificates.,Remote Desktop Configuration,EC0003XSC,741d8feeba91a40f2d6a9fda67cc6f0f,SessionEnv,C:\Windows\System32\svchost.exe,Microsoft Windows Verification PCA,Microsoft Windows,The file is signed and the signature was verified.,true,true,C:\Windows\System32\SessEnv.dll,SERVICE_WIN32_SHARE_PROCESS
C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted,Manages audio devices for the Windows Audio service.  If this service is stopped  audio devices and effects will not function properly.  If this service is disabled  any services that explicitly depend on it will fail to start,Windows Audio Endpoint Builder,EC0003XSC,741d8feeba91a40f2d6a9fda67cc6f0f,AudioEndpointBuilder,C:\Windows\System32\svchost.exe,Microsoft Windows Verification PCA,Microsoft Windows,The file is signed and the signature was verified.,true,true,C:\Windows\System32\audiosrv.dll,SERVICE_WIN32_SHARE_PROCESS
\SystemRoot\system32\drivers\MegaSR.sys,,MegaSR,EC0003XSC,9bdba1e0384807b487df2832227ab5f5,MegaSR,C:\Windows\System32\drivers\MegaSR.sys,Microsoft Windows Verification PCA,Microsoft Windows,The file is signed and the signature was verified.,true,true,,SERVICE_KERNEL_DRIVER
system32\drivers\aswbidsdrivera.sys,,aswbidsdriver,EC0003XSC,c7de95b148f110866b8585b945039762,aswbidsdriver,C:\Windows\System32\drivers\aswbidsdrivera.sys,DigiCert High Assurance Code Signing CA-1,AVAST Software s.r.o.,The file is signed and the signature was verified.,true,true,,SERVICE_FILE_SYSTEM_DRIVER
\SystemRoot\system32\drivers\megasas.sys,,megasas,EC0003XSC,5e11c96a452e4ad46ea1de4ab3a8eeb4,megasas,C:\Windows\System32\drivers\megasas.sys,Microsoft Windows Verification PCA,Microsoft Windows,The file is signed and the signature was verified.,true,true,,SERVICE_KERNEL_DRIVER
\SystemRoot\system32\drivers\disk.sys,,Disk Driver,EC0003XSC,10ea787b4ec75b36db410fd776bc14df,Disk,C:\Windows\System32\drivers\disk.sys,Microsoft Windows Verification PCA,Microsoft Windows,The file is signed and the signature was verified.,true,true,,SERVICE_KERNEL_DRIVER
system32\DRIVERS\netbios.sys,NetBIOS Interface,NetBIOS Interface,EC0003XSC,228d17958ec9894377276d8241a5c83d,NetBIOS,C:\Windows\System32\drivers\netbios.sys,Microsoft Windows Verification PCA,Microsoft Windows,The file is signed and the signature was verified.,true,true,,SERVICE_FILE_SYSTEM_DRIVER
\SystemRoot\system32\drivers\serial.sys,,Serial port driver,EC0003XSC,e33970f11cf6ffdca9e0baba8fa10c2f,Serial,C:\Windows\System32\drivers\serial.sys,Microsoft Windows Verification PCA,Microsoft Windows,The file is signed and the signature was verified.,true,true,,SERVICE_KERNEL_DRIVER
C:\Windows\System32\svchost.exe -k netsvcs,This service provides support for viewing  sending and deletion of system-level problem reports for the Problem Reports and Solutions control panel.,Problem Reports and Solutions Control Panel Support,EC0003XSC,741d8feeba91a40f2d6a9fda67cc6f0f,wercplsupport,C:\Windows\System32\svchost.exe,Microsoft Windows Verification PCA,Microsoft Windows,The file is signed and the signature was verified.,true,true,C:\Windows\System32\wercplsupport.dll,SERVICE_WIN32_SHARE_PROCESS
C:\Windows\system32\svchost.exe -k LocalServiceAndNoImpersonation,Discovers networked devices and services that use the SSDP discovery protocol  such as UPnP devices. Also announces SSDP devices and services running on the local computer. If this service is stopped  SSDP-based devices will not be discovered. If this service is disabled  any services that explicitly depend on it will fail to start.,SSDP Discovery,EC0003XSC,741d8feeba91a40f2d6a9fda67cc6f0f,SSDPSRV,C:\Windows\System32\svchost.exe,Microsoft Windows Verification PCA,Microsoft Windows,The file is signed and the signature was verified.,true,true,C:\Windows\System32\ssdpsrv.dll,SERVICE_WIN32_SHARE_PROCESS
C:\Windows\system32\svchost.exe -k netsvcs,Copies user certificates and root certificates from smart cards into the current user's certificate store  detects when a smart card is inserted into a smart card reader  and  if needed  installs the smart card Plug and Play minidriver.,Certificate Propagation,EC0003XSC,741d8feeba91a40f2d6a9fda67cc6f0f,CertPropSvc,C:\Windows\System32\svchost.exe,Microsoft Windows Verification PCA,Microsoft Windows,The file is signed and the signature was verified.,true,true,C:\Windows\System32\certprop.dll,SERVICE_WIN32_SHARE_PROCESS
system32\DRIVERS\smb.sys,Microsoft NetbiosSmb Device Driver,Message-oriented TCP/IP and TCP/IPv6 Protocol (SMB session),EC0003XSC,c7d99fe7bae73364dee61ba84861db77,Smb,C:\Windows\System32\drivers\smb.sys,Microsoft Windows Verification PCA,Microsoft Windows,The file is signed and the signature was verified.,true,true,,SERVICE_KERNEL_DRIVER
system32\DRIVERS\raspptp.sys,WAN Miniport (PPTP),WAN Miniport (PPTP),EC0003XSC,3eea45a8d656491896cb455d438a96a4,PptpMiniport,C:\Windows\System32\drivers\raspptp.sys,Microsoft Windows Verification PCA,Microsoft Windows,The file is signed and the signature was verified.,true,true,,SERVICE_KERNEL_DRIVER
\SystemRoot\system32\drivers\sisraid4.sys,,SiSRaid4,EC0003XSC,6f940a60fec09714e505c6ec519bd282,SiSRaid4,C:\Windows\System32\drivers\sisraid4.sys,Microsoft Windows Verification PCA,Microsoft Windows,The file is signed and the signature was verified.,true,true,,SERVICE_KERNEL_DRIVER
system32\DRIVERS\rspndr.sys,,Link-Layer Topology Discovery Responder,EC0003XSC,cf88bf3809637d3d20c61ea0cba8e30f,rspndr,C:\Windows\System32\drivers\rspndr.sys,Microsoft Windows Verification PCA,Microsoft Windows,The file is signed and the signature was verified.,true,true,,SERVICE_KERNEL_DRIVER
\SystemRoot\system32\drivers\aswbuniva.sys,,aswbuniv,EC0003XSC,415c0024c9b9a69057bb68866f29a61b,aswbuniv,C:\Windows\System32\drivers\aswbuniva.sys,DigiCert High Assurance Code Signing CA-1,AVAST Software s.r.o.,The file is signed and the signature was verified.,true,true,,SERVICE_FILE_SYSTEM_DRIVER
\SystemRoot\system32\drivers\serenum.sys,,Serenum Filter Driver,EC0003XSC,5cca0f87b14058bf5ebec74019b174e0,Serenum,C:\Windows\System32\drivers\serenum.sys,Microsoft Windows Verification PCA,Microsoft Windows,The file is signed and the signature was verified.,true,true,,SERVICE_KERNEL_DRIVER
\SystemRoot\system32\drivers\nvstor.sys,,nvstor,EC0003XSC,e2cceef6382251651b3f4d5aaea2241f,nvstor,C:\Windows\System32\drivers\nvstor.sys,Microsoft Windows Verification PCA,Microsoft Windows,The file is signed and the signature was verified.,true,true,,SERVICE_KERNEL_DRIVER
System32\DRIVERS\srvnet.sys,,srvnet,EC0003XSC,f39f0f3e80ba6f642948f80a613a0598,srvnet,C:\Windows\System32\drivers\srvnet.sys,Microsoft Windows Verification PCA,Microsoft Windows,The file is signed and the signature was verified.,true,true,,SERVICE_FILE_SYSTEM_DRIVER
C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted,The PnP-X bus enumerator service manages the virtual network bus. It discovers network connected devices using the SSDP/WS discovery protocols and gives them presence in PnP. If this service is stopped or disabled  presence of NCD devices will not be maintained in PnP. All pnpx based scenarios will stop functioning.,PnP-X IP Bus Enumerator,EC0003XSC,741d8feeba91a40f2d6a9fda67cc6f0f,IPBusEnum,C:\Windows\System32\svchost.exe,Microsoft Windows Verification PCA,Microsoft Windows,The file is signed and the signature was verified.,true,true,C:\Windows\System32\ipbusenum.dll,SERVICE_WIN32_SHARE_PROCESS
\SystemRoot\system32\drivers\viaide.sys,,viaide,EC0003XSC,c677428ac25e84ae4367fa09becbfb11,viaide,C:\Windows\System32\drivers\viaide.sys,Microsoft Windows Verification PCA,Microsoft Windows,The file is signed and the signature was verified.,true,true,,SERVICE_KERNEL_DRIVER
\SystemRoot\System32\drivers\vga.sys,,VgaSave,EC0003XSC,c6d351214e015400da433df81ba7fb36,VgaSave,C:\Windows\System32\drivers\vga.sys,Microsoft Windows Verification PCA,Microsoft Windows,The file is signed and the signature was verified.,true,true,,SERVICE_KERNEL_DRIVER
C:\Windows\system32\locator.exe,In Windows 2003 and earlier versions of Windows  the Remote Procedure Call (RPC) Locator service manages the RPC name service database. In Windows Vista and later versions of Windows  this service does not provide any functionality and is present for application compatibility.,Remote Procedure Call (RPC) Locator,EC0003XSC,a277ada123e204a16e5083c8d95d4894,RpcLocator,C:\Windows\System32\Locator.exe,Microsoft Windows Verification PCA,Microsoft Windows,The file is signed and the signature was verified.,true,true,,SERVICE_WIN32_OWN_PROCESS
C:\Windows\system32\svchost.exe -k rpcss,The RPCSS service is the Service Control Manager for COM and DCOM servers. It performs object activations requests  object exporter resolutions and distributed garbage collection for COM and DCOM servers. If this service is stopped or disabled  programs using COM or DCOM will not function properly. It is strongly recommended that you have the RPCSS service running,Remote Procedure Call (RPC),EC0003XSC,741d8feeba91a40f2d6a9fda67cc6f0f,RpcSs,C:\Windows\System32\svchost.exe,Microsoft Windows Verification PCA,Microsoft Windows,The file is signed and the signature was verified.,true,true,C:\Windows\System32\rpcss.dll,SERVICE_WIN32_SHARE_PROCESS
\SystemRoot\system32\drivers\msisadrv.sys,,msisadrv,EC0003XSC,69bad767edf61e84ab9dedcb566df857,msisadrv,C:\Windows\System32\drivers\msisadrv.sys,Microsoft Windows Verification PCA,Microsoft Windows,The file is signed and the signature was verified.,true,true,,SERVICE_KERNEL_DRIVER
C:\Program Files\AVAST Software\Avast\x64\aswidsagenta.exe,Provides Identity Protection Against Cyber Crime.,aswbIDSAgent,EC0003XSC,00cd9b9ecd7cc3f6a638bf7c10e26bf1,aswbIDSAgent,C:\Program Files\AVAST Software\Avast\x64\aswidsagenta.exe,DigiCert High Assurance Code Signing CA-1,AVAST Software s.r.o.,The file is signed and the signature was verified.,true,true,,SERVICE_WIN32_OWN_PROCESS
\SystemRoot\System32\drivers\volmgrx.sys,Extension of the volume manager driver that manages software RAID volumes (spanned  striped  mirrored  RAID-5) on dynamic disks,Dynamic Volume Manager,EC0003XSC,df471a68e8714c5bb93151506b73a6e6,volmgrx,C:\Windows\System32\drivers\volmgrx.sys,Microsoft Windows Verification PCA,Microsoft Windows,The file is signed and the signature was verified.,true,true,,SERVICE_KERNEL_DRIVER
\SystemRoot\system32\drivers\umpass.sys,,Microsoft UMPass Driver,EC0003XSC,883ff048b39ded7c351f3b8d02799ce2,UmPass,C:\Windows\System32\drivers\umpass.sys,Microsoft Windows Verification PCA,Microsoft Windows,The file is signed and the signature was verified.,true,true,,SERVICE_KERNEL_DRIVER
\SystemRoot\system32\drivers\sbp2port.sys,,sbp2port,EC0003XSC,1f23427ba0d99786ae30aba147f8f113,sbp2port,C:\Windows\System32\drivers\sbp2port.sys,Microsoft Windows Verification PCA,Microsoft Windows,The file is signed and the signature was verified.,true,true,,SERVICE_KERNEL_DRIVER
